Round: 0, Step 0
MAPE: 1.6404: 17,236,26,6,48,0.4293,0.0677,0.6904,6
MAPE: 0.0573: 17,107,41,2,6,0.4859,0.0191,0.9211,5
MAPE: 0.0945: 28,124,46,6,20,0.4732,0.0604,0.9744,7
MAPE: 1.1451: 28,173,27,3,48,0.5629,0.0853,0.3337,9
MAPE: 0.0504: 8,129,26,5,3,0.5778,0.0202,0.2794,5
MAPE: 0.0595: 49,48,12,8,6,0.3776,0.0301,0.8166,8
MAPE: 0.0500: 11,244,16,2,8,0.4792,0.0307,0.1968,7
MAPE: 0.0685: 2,25,40,3,36,0.7283,0.0551,0.1466,5
MAPE: 0.0651: 23,389,3,9,46,0.1113,0.0547,0.5194,5
MAPE: 0.0729: 13,82,40,5,20,0.2431,0.0999,0.8287,8
Step: 2, min MAPE: 0.044192284, hyperparameter: [23.2076217774404, 158.80080888218782, 31.28132307509244, 4.608152433274205, 23.59125121503958, 0.17540264266554373, 0.02911792383127601, 0.1324776129505617, 8.205088561551971]
Round: 0, Step 3
MAPE: 0.0632: 23,159,13,2,24,0.4235,0.0291,0.1325,3
MAPE: 0.0573: 19,298,12,3,22,0.3055,0.0166,0.2788,6
MAPE: 0.0539: 48,134,20,2,25,0.2895,0.0248,0.5678,4
MAPE: 0.0522: 3,154,22,7,6,0.4341,0.027,0.2911,3
MAPE: 0.0456: 11,311,26,3,13,0.2647,0.0113,0.3852,7
MAPE: 0.0471: 13,174,14,3,9,0.1425,0.0559,0.2008,7
MAPE: 20.8158: 17,243,34,2,48,0.4293,0.0677,0.6904,6
MAPE: 0.0533: 13,129,26,5,9,0.5778,0.0202,0.1761,5
MAPE: 0.6910: 11,244,50,2,25,0.4792,0.0307,0.1968,9
MAPE: 220.0011: 13,384,49,6,25,0.2431,0.0422,0.5888,8
Step: 3, min MAPE: 0.044192284, hyperparameter: [23.2076217774404, 158.80080888218782, 31.28132307509244, 4.608152433274205, 23.59125121503958, 0.17540264266554373, 0.02911792383127601, 0.1324776129505617, 8.205088561551971]
Round: 0, Step 4
MAPE: 0.0438: 23,159,31,5,10,0.1754,0.0291,0.1325,8
MAPE: 0.0452: 14,76,12,7,11,0.1666,0.0166,0.2249,6
MAPE: 3.5006: 48,191,20,3,41,0.1667,0.0248,0.1631,4
MAPE: 0.8126: 11,311,26,3,13,0.2647,0.0482,0.3852,7
MAPE: 0.0486: 14,174,16,3,11,0.1425,0.0496,0.2192,7
Step: 4, min MAPE: 0.04379507, hyperparameter: [23.2076217774404, 158.80080888218782, 31.28132307509244, 4.608152433274205, 9.893975219569507, 0.17540264266554373, 0.02911792383127601, 0.1324776129505617, 8.205088561551971]
Round: 0, Step 5
MAPE: 1.1323: 23,208,31,5,10,0.1754,0.0533,0.2433,8
MAPE: 0.0480: 14,76,12,7,11,0.1666,0.0518,0.2497,6
MAPE: 1.9026: 48,228,17,2,41,0.1556,0.0468,0.1631,8
MAPE: 0.0428: 6,311,26,3,13,0.2647,0.0113,0.3852,7
MAPE: 0.0457: 13,174,14,3,9,0.1425,0.0509,0.2533,8
Step: 5, min MAPE: 0.0427608, hyperparameter: [5.798212556382618, 310.7321222428357, 25.99003043109751, 2.7936485285092707, 13.178628876597195, 0.264655951536073, 0.011305854550325888, 0.38524351596789475, 7.144437728004858]
Round: 0, Step 6
MAPE: 0.0436: 23,322,31,5,10,0.1754,0.0129,0.3734,7
MAPE: 0.0464: 14,76,12,7,11,0.1666,0.0261,0.1585,6
MAPE: 1.6262: 48,317,28,2,41,0.3041,0.0101,0.1631,6
MAPE: 0.0449: 12,311,26,3,13,0.2647,0.0113,0.3852,7
MAPE: 0.0468: 13,174,14,3,9,0.1425,0.0211,0.1738,3
Step: 6, min MAPE: 0.0427608, hyperparameter: [5.798212556382618, 310.7321222428357, 25.99003043109751, 2.7936485285092707, 13.178628876597195, 0.264655951536073, 0.011305854550325888, 0.38524351596789475, 7.144437728004858]
Round: 0, Step 7
MAPE: 46.1110: 23,219,31,5,10,0.1754,0.0499,0.284,8
MAPE: 0.0465: 14,76,12,7,11,0.1666,0.0248,0.1621,6
MAPE: 2.0000: 48,320,26,2,41,0.2505,0.0141,0.1631,8
MAPE: 0.0449: 11,311,26,3,13,0.2647,0.0113,0.3852,7
MAPE: 0.0470: 13,174,14,3,9,0.1425,0.0536,0.2728,8
Step: 7, min MAPE: 0.0427608, hyperparameter: [5.798212556382618, 310.7321222428357, 25.99003043109751, 2.7936485285092707, 13.178628876597195, 0.264655951536073, 0.011305854550325888, 0.38524351596789475, 7.144437728004858]
